#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
141,Sudan,"62,093",,"4,930 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,318","45,702,089 ",Africa
142,New Caledonia,"60,457",,312 ,,"60,064",,81,9,"208,137","1,074","98,964","340,707","290,467 ",Australia/Oceania
143,Mauritania,"58,685",,982 ,,"57,694",,9,,"12,048",202,"800,513","164,349","4,870,814 ",Africa
144,Bhutan,"58,373",+464,20 ,,"55,591","+1,024","2,762",3,"74,172",25,"2,290,385","2,910,306","786,991 ",Asia
145,Belize,"57,454",,676 ,,"56,562",,216,6,"139,895","1,646","536,698","1,306,808","410,694 ",North America
146,Cabo Verde,"56,008",,401 ,,"55,541",,66,23,"98,793",707,"400,982","707,299","566,920 ",Africa
147,Syria,"55,799",,"3,150 ",,"52,111",,538,,"3,054",172,"146,269","8,006","18,270,009 ",Asia
148,Gabon,"47,597",,303 ,,"47,282",,12,,"20,509",131,"1,592,483","686,185","2,320,777 ",Africa
149,Papua New Guinea,"43,732",,649 ,,"43,025",,58,7,"4,726",70,"249,149","26,924","9,253,793 ",Australia/Oceania
150,Seychelles,"42,079",,165 ,,"41,260",,654,,"423,121","1,659",,,"99,449 ",Africa
151,Curaçao,"41,966",,273 ,,"41,251",,442,3,"253,866","1,651","496,693","3,004,652","165,308 ",North America
152,Andorra,"41,013",,153 ,,"40,343",,517,14,"529,275","1,974","249,838","3,224,174","77,489 ",Europe
153,Burundi,"39,632",+488,38 ,,773,,"38,821",,"3,163",3,"345,742","27,590","12,531,535 ",Africa
154,Mauritius,"37,572",+28,990 ,,"35,755",+17,827,,"29,455",776,"358,675","281,184","1,275,589 ",Africa
155,Mayotte,"37,038",,187 ,,"2,964",,"33,887",,"130,083",657,"176,919","621,364","284,727 ",Africa
156,Togo,"36,979",,273 ,,"36,688",,18,,"4,285",32,"728,536","84,420","8,629,866 ",Africa
157,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,646",32,"660,107","47,912","13,777,371 ",Africa
158,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,445",569,"778,000","15,813,330","49,199 ",Europe
159,Aruba,"34,589",,212 ,,"34,251",,126,2,"321,498","1,970","177,885","1,653,406","107,587 ",North America
160,Tanzania,"33,864",,803 ,,N/A,N/A,N/A,7,539,13,,,"62,812,777 ",Africa
161,Bahamas,"33,488",,789 ,,"32,315",,384,11,"83,710","1,972","229,817","574,475","400,047 ",North America
162,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,145",321,"431,221","198,445","2,172,997 ",Africa
163,Mali,"30,752",,731 ,,"29,828",,193,,"1,443",34,"664,653","31,195","21,306,210 ",Africa
164,Haiti,"30,640",,835 ,,"29,389",,416,,"2,629",72,"132,422","11,363","11,654,187 ",North America
165,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"331,004","1,013","150,753","1,756,046","85,848 ",Europe
166,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,123",13,"604,310","47,592","12,697,801 ",Africa
167,Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,586",81,"400,466","23,986","16,695,537 ",Africa
168,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,178",67,"347,815","60,344","5,763,877 ",Africa
169,Saint Lucia,"23,285",,368 ,,"22,765",,152,1,"125,765","1,988","142,871","771,663","185,147 ",North America
