Date,Africa,Asia,Australia/Oceania,Europe,North America,South America
28-4,0,77319,10349,242505,1007,536
29-4,40,63408,9546,212311,781,576
30-4,3125,107215,45468,302795,35171,19007
1-5,1604,92856,40047,249109,39706,20309
2-5,2064,90213,39858,501568,42757,26765
3-5,2063,90213,40113,501492,42757,26765
4-5,1771,116898,10037,461456,44738,20786
5-5,6504,83672,71900,450667,36841,10203
6-5,4506,65016,43512,425122,44330,8390
