#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,China,216587,920,5060,38,187525,3447,24002,447,150,4,160000000,111163,1439323776,Asia
2,USA,83083425,16518,1020854,21,80719929,35030,1342642,1554,248345,3051,1005593629,3005820,334548810,North America
3,India,43082502,3314,523869,26,42538976,2723,19657,698,30668,373,837913110,596468,1404791509,Asia
4,Brazil,30454490,6254,663567,16,29533039,13835,257884,8318,141438,3082,63776166,296193,215319917,South America
5,France,28682011,36726,145962,32,26826937,25431,1709112,1677,437643,2227,266484045,4066138,65537387,Europe
6,Germany,24770595,8995,135913,13,22356000,48100,2278682,1446,293931,1613,122332384,1451613,84273389,Europe
7,UK,22038340,0,174912,0,21210408,42141,653020,302,321551,2552,517337635,7548239,68537525,Europe
8,Russia,18189401,7047,376031,147,17548718,8733,264652,2300,124543,2575,273400000,1871977,146048781,Europe
9,S. Korea,17275649,37771,22875,81,0,0,0,793,336431,445,15804065,307773,51349793,Asia
10,Italy,16504791,40757,163612,105,15109509,39195,1231670,366,273714,2713,214061284,3549973,60299411,Europe
11,Turkey,15033573,1480,98783,12,14930088,2113,4702,975,174815,1149,159133216,1850450,85997034,Asia
12,Spain,11896152,0,104456,0,11389694,0,402002,339,254257,2233,471036328,10067490,46787862,Europe
13,Vietnam,10653526,3717,43042,1,9264366,2111,1346118,475,107678,435,85799603,867200,98938645,Asia
14,Argentina,9083673,1024,128653,13,8895999,0,59021,372,197671,2800,35716069,777223,45953458,South America
15,Netherlands,8047132,0,22243,0,7836980,25416,187909,66,467744,1293,21107399,1226879,17204137,Europe
16,Japan,7876508,26256,29567,19,7439103,36533,407838,165,62627,235,48754790,387653,125769179,Asia
17,Iran,7222308,655,141096,13,6986516,3014,94696,1001,84022,1641,50914586,592327,85956910,Asia
18,Colombia,6092667,0,139797,0,5926476,0,26394,342,117452,2695,34465052,664403,51873698,South America
19,Indonesia,6047040,244,156273,16,5883293,633,7474,2771,21689,561,95647196,343058,278807646,Asia
20,Poland,5996747,233,116059,0,5334711,31,545977,1321,158766,3073,36099719,955755,37770886,Europe
21,Australia,5960844,32538,7231,8,5624690,33443,328923,149,228908,278,69388128,2664634,26040394,Australia/Oceania
22,Mexico,5739680,911,324334,40,5038901,751,376445,4798,43678,2468,15801675,120249,131407522,North America
23,Ukraine,5001719,0,108391,0,0,0,0,177,115636,2506,19521252,451318,43253836,Europe
24,Malaysia,4449507,1503,35550,3,4372790,5839,41167,69,134331,1073,58769192,1774242,33123555,Asia
25,Thailand,4262484,11535,28620,91,4092878,22022,140986,1496,60788,408,17270775,246303,70119963,Asia
26,Austria,4144906,4363,18161,5,4049476,6936,77269,83,455470,1996,183086157,20118730,9100284,Europe
27,Israel,4077863,1752,10698,3,4046110,3867,21055,220,437257,1147,41373364,4436346,9326000,Asia
28,Belgium,4056448,0,31439,0,3804223,15900,220786,150,347246,2691,33531891,2870445,11681774,Europe
29,Czechia,3905702,602,40162,7,3852006,2865,13534,30,363481,3738,55206405,5137737,10745277,Europe
30,Portugal,3853800,0,22280,0,0,0,0,61,379969,2197,41320769,4074063,10142397,Europe
31,South Africa,3795763,3838,100363,0,3650115,1284,45285,192,62559,1654,24492958,403676,60674734,Africa
32,Canada,3751326,2243,39260,17,3457372,2406,254694,468,97827,1024,60871310,1587393,38346723,North America
33,Philippines,3685895,253,60397,56,3619531,1394,5967,289,32838,538,29583870,263564,112245459,Asia
34,Switzerland,3602489,0,13859,0,3471069,12016,117561,87,410762,1580,20767523,2367950,8770255,Europe
35,Peru,3565839,586,212841,17,0,0,0,297,105464,6295,29874150,883566,33810892,South America
36,Chile,3561016,2385,57539,12,3419387,5960,84090,211,183406,2963,37050142,1908228,19415990,South America
37,Greece,3328623,4701,29175,22,3223095,10172,76353,238,322227,2824,79914290,7736095,10330055,Europe
38,Denmark,2966671,624,6170,12,2943249,1488,17252,13,508909,1058,127225595,21824567,5829467,Europe
39,Romania,2894368,492,65493,6,2606660,0,222215,191,152309,3446,22714582,1195298,19003285,Europe
40,Sweden,2500917,0,18739,0,2469945,796,12233,21,244844,1835,18513445,1812500,10214317,Europe
41,Iraq,2325175,83,25211,0,2297956,209,2008,15,55532,602,18481057,441383,41870842,Asia
42,Serbia,2006695,342,15999,8,1976686,1050,14010,25,231370,1845,9491908,1094410,8673082,Europe
43,Bangladesh,1952716,25,29127,0,1895697,293,27892,1297,11645,174,13993109,83448,167686928,Asia
44,Hungary,1901017,0,46201,0,1804295,0,50521,41,197703,4805,11339446,1179283,9615541,Europe
45,Slovakia,1781692,737,19917,12,1744090,784,17685,70,326050,3645,7093189,1298055,5464473,Europe
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,163091,1352,16670254,1604732,10388185,Asia
47,Georgia,1655170,72,16810,3,1637198,161,1162,0,416376,4229,16915441,4255265,3975179,Asia
48,Pakistan,1528478,66,30371,0,1494141,0,3966,119,6683,133,28175958,123186,228726193,Asia
49,Ireland,1517112,0,7087,0,1458063,5725,51962,38,301101,1407,12063637,2394267,5038551,Europe
50,Norway,1426128,115,2932,0,0,0,0,20,259358,533,11002430,2000919,5498688,Europe
51,Kazakhstan,1305543,10,13660,0,1291078,12,805,24,68043,712,11575012,603273,19187011,Asia
52,Hong Kong,1204510,300,9313,5,0,0,0,115,158319,1224,44972952,5911192,7608102,Asia
53,Singapore,1199640,1732,1336,1,1137970,5396,60334,7,202150,225,23767171,4004982,5934402,Asia
54,Morocco,1164973,20,16069,0,1148503,29,401,293,30893,426,11237010,297986,37709802,Africa
55,Bulgaria,1156971,242,36918,5,978294,149,141759,81,168829,5387,9851635,1437585,6852907,Europe
56,Croatia,1122982,523,15835,7,1101699,845,5448,15,276663,3901,4789971,1180079,4059024,Europe
57,Cuba,1103131,190,8527,1,1093707,199,897,23,97502,754,12920253,1141972,11313986,North America
58,Lebanon,1097044,89,10387,1,1081770,0,4887,186,162054,1534,4795578,708398,6769612,Asia
59,Lithuania,1058432,226,9099,5,1024107,367,25226,35,398968,3430,8247311,3108759,2652927,Europe
60,Tunisia,1040193,0,28550,0,0,0,0,29,86362,2370,4572976,379672,12044547,Africa
61,Finland,1023013,0,3939,0,46000,0,973074,24,184113,709,10720282,1929342,5556445,Europe
62,Slovenia,1010555,477,6593,1,990907,570,13055,24,485970,3171,2646571,1272720,2079460,Europe
63,Belarus,980345,0,6947,0,928536,0,44862,0,103810,736,13157373,1393252,9443645,Europe
64,Nepal,978828,18,11951,0,966656,27,221,0,32526,397,5638811,187373,30094011,Asia
65,New Zealand,936697,5728,707,5,883593,5705,52397,0,187261,141,7081425,1415690,5002100,Australia/Oceania
66,Bolivia,905041,67,21923,4,858920,486,24198,220,75648,1832,2699040,225599,11963898,South America
67,UAE,898811,240,2302,0,882223,392,14286,0,88915,228,156156960,15447768,10108707,Asia
68,Uruguay,895775,0,7197,0,886654,0,1924,18,256249,2059,6091188,1742468,3495724,South America
69,Ecuador,869696,0,35598,0,0,0,0,759,47964,1963,2470170,136229,18132441,South America
70,Costa Rica,852074,0,8405,0,832853,0,10816,45,164522,1623,4291131,828547,5179102,North America
71,Guatemala,846546,0,17584,0,826602,0,2360,5,45708,949,4454022,240486,18520882,North America
72,Latvia,822013,0,5760,0,808909,0,7344,11,444785,3117,7174863,3882264,1848113,Europe
73,Azerbaijan,792578,16,9709,0,782781,20,88,0,76903,942,6817342,661484,10306140,Asia
74,Panama,777120,700,8184,0,762170,0,6766,8,175073,1844,5878625,1324361,4438839,North America
