Date,Africa,Asia,Australia/Oceania,Europe,North America,South America
28-4,0,119697,55263,1645,1464,101
29-4,28,126761,50207,21289,1232,125
30-4,6928,132632,46536,189185,31416,20129
1-5,4146,109994,39225,107447,21764,10434
2-5,2830,88445,38245,69607,47786,8811
3-5,3078,88443,38266,75784,47786,8811
4-5,7086,128786,55228,303232,86858,23458
5-5,10599,128061,64623,286503,94857,27186
6-5,9745,109632,45685,238107,86538,23745
