#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,China,217452,865,5092,32,192187,4662,20173,576,151,4,160000000,111163,1439323776,Asia
2,USA,83170407,40784,1021089,122,80757424,37094,1391894,1550,248601,3052,1006269592,3007793,334554103,North America
3,India,43085166,2664,523889,20,42541887,2911,19390,698,30669,373,838208698,596663,1404828550,Asia
4,Brazil,30460997,6507,663657,90,29554308,21269,243032,8318,141466,3082,63776166,296187,215324039,South America
5,France,28690748,8737,146142,180,27017667,190730,1526939,1557,437774,2230,266484045,4066113,65537780,Europe
6,Germany,24791190,20595,135947,34,22469200,113200,2186043,1446,294173,1613,122332384,1451601,84274119,Europe
7,UK,22038340,0,174912,0,21264128,53720,599300,302,321547,2552,517337635,7548132,68538498,Europe
8,Russia,18195608,6207,376167,136,17556220,7502,263221,2300,124586,2576,273400000,1871975,146048952,Europe
9,S. Korea,17295733,20084,22958,83,0,0,0,461,336821,447,15804065,307772,51349914,Asia
10,Italy,16524197,19234,163736,124,15155021,45512,1205440,368,274037,2715,214183728,3552018,60299169,Europe
11,Turkey,15034917,1344,98791,8,14931490,1402,4636,975,174826,1149,159230999,1851534,85999512,Asia
12,Spain,11896152,0,104456,0,11389694,0,402002,339,254257,2233,471036328,10067479,46787912,Europe
13,Vietnam,10656649,3123,43044,2,9265456,1090,1348149,475,107707,435,85800783,867191,98941036,Asia
14,Argentina,9083673,0,128653,0,8895999,0,59021,372,197666,2800,35716069,777204,45954590,South America
15,Netherlands,8051292,1273,22256,3,7875675,38695,153361,70,467983,1294,21107399,1226872,17204241,Europe
16,Japan,7901933,25425,29601,34,7479421,40318,392911,164,62829,235,48810804,388102,125768126,Asia
17,Iran,7223005,697,141114,18,6989358,2842,92533,1038,84028,1642,50914586,592307,85959848,Asia
18,Colombia,6092667,0,139797,0,5926476,0,26394,342,117449,2695,34465052,664384,51875179,South America
19,Indonesia,6047208,168,156287,14,5883664,371,7257,2771,21689,561,95693154,343213,278815543,Asia
20,Poland,5996935,188,116055,0,5334736,25,546144,1321,158772,3073,36104936,955896,37770774,Europe
21,Australia,5992148,31304,7270,39,5658513,33823,326365,135,230103,279,69443660,2666684,26041202,Australia/Oceania
22,Mexico,5740080,400,324350,16,5039624,723,376106,4798,43680,2468,15801675,120246,131411221,North America
23,Ukraine,5002870,299,108411,1,0,0,0,177,115665,2506,19521252,451326,43253122,Europe
24,Malaysia,4450859,1352,35555,5,4378864,6074,36440,66,134367,1073,58808233,1775360,33124688,Asia
25,Thailand,4271815,9331,28704,84,4114046,21168,129065,1496,60921,409,17270775,246302,70120440,Asia
26,Austria,4149004,4098,18170,9,4055726,6250,75108,90,455913,1997,183157777,20126290,9100424,Europe
27,Israel,4080487,2624,10698,0,4048807,2697,20982,220,437539,1147,41373364,4436346,9326000,Asia
28,Belgium,4071279,4057,31494,12,3819609,15386,220176,131,348511,2696,33643042,2879926,11681911,Europe
29,Czechia,3906113,397,40173,6,3853978,2015,11962,23,363517,3739,55211168,5138154,10745331,Europe
30,Portugal,3853800,0,22280,0,0,0,0,61,379972,2197,41336850,4075681,10142317,Europe
31,South Africa,3798413,2650,100370,7,3651665,1550,46378,192,62601,1654,24505584,403871,60676777,Africa
32,Canada,3756272,4946,39292,32,3459763,2391,257217,468,97953,1025,60943345,1589234,38347627,North America
33,Philippines,3686082,188,60410,13,3620369,838,5303,289,32838,538,29599478,263694,112249444,Asia
34,Switzerland,3617001,983,13862,1,3477036,5967,126103,87,412409,1581,20767523,2367903,8770428,Europe
35,Peru,3566523,684,212865,24,0,0,0,293,105481,6296,29886697,883904,33812147,South America
36,Chile,3562521,1505,57541,2,3424636,5249,80344,209,183480,2964,37084042,1909930,19416438,South America
37,Greece,3331288,2665,29205,30,3230438,7343,71645,235,322489,2827,79941425,7738826,10329916,Europe
38,Denmark,2967388,717,6183,13,2944379,1130,16826,8,509028,1061,127233608,21825732,5829523,Europe
39,Romania,2894896,528,65496,3,2606660,0,222740,191,152339,3447,22725764,1195908,19002936,Europe
40,Sweden,2500917,0,18739,0,2470701,756,11477,21,244840,1835,18513445,1812469,10214488,Europe
41,Iraq,2325247,72,25211,0,2298174,218,1862,15,55531,602,18482865,441400,41873314,Asia
42,Serbia,2007091,396,16004,5,1977662,976,13425,21,231419,1845,9497175,1095029,8672986,Europe
43,Bangladesh,1952726,10,29127,0,1896001,304,27598,1297,11645,174,13995586,83460,167691408,Asia
44,Hungary,1903200,2183,46266,65,1808061,3766,48873,40,197931,4812,11355462,1180957,9615474,Europe
45,Slovakia,1781842,150,19931,14,1745341,1251,16570,70,326077,3647,7094321,1298261,5464480,Europe
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,163086,1352,16670254,1604689,10388461,Asia
47,Georgia,1655221,51,16811,1,1637293,95,1117,0,416391,4229,16920079,4256454,3975158,Asia
48,Pakistan,1528518,40,30372,1,1494141,0,4005,111,6682,133,28192123,123251,228737931,Asia
49,Ireland,1518805,784,7087,0,1461810,3747,49908,41,301428,1407,12063637,2394195,5038702,Europe
50,Norway,1426491,363,2932,0,0,0,0,20,259418,533,11002430,2000877,5498803,Europe
51,Kazakhstan,1305548,5,13660,0,1291089,11,799,24,68041,712,11575012,603254,19187625,Asia
52,Hong Kong,1204793,283,9318,5,0,0,0,5,158353,1225,44972952,5911063,7608268,Asia
53,Singapore,1200976,1336,1338,2,1140531,2561,59107,6,202371,225,23767171,4004897,5934528,Asia
54,Morocco,1164984,11,16069,0,1148556,53,359,293,30892,426,11237010,297977,37710997,Africa
55,Bulgaria,1157199,228,36920,2,978533,239,141746,77,168866,5388,9855728,1438212,6852765,Europe
56,Croatia,1123029,47,15843,8,1102510,811,4676,15,276679,3903,4790822,1180309,4058956,Europe
57,Cuba,1103286,155,8527,0,1093878,171,881,23,97515,754,12920253,1141974,11313967,North America
58,Lebanon,1097044,0,10387,0,1081770,0,4887,186,162056,1534,4795578,708406,6769529,Asia
59,Lithuania,1058545,113,9106,7,1024801,694,24638,34,399026,3433,8251467,3110446,2652824,Europe
60,Tunisia,1040193,0,28550,0,0,0,0,29,86360,2370,4572976,379661,12044884,Africa
61,Finland,1023013,0,3939,0,46000,0,973074,24,184112,709,10720282,1929334,5556468,Europe
62,Slovenia,1010798,242,6595,2,991304,397,12899,22,486087,3171,2646952,1272903,2079461,Europe
63,Belarus,980828,148,6951,2,928536,0,45341,0,103861,736,13171246,1394722,9443636,Europe
64,Nepal,978836,8,11951,0,966674,18,211,0,32524,397,5642144,187475,30095444,Asia
65,New Zealand,943428,6731,713,6,889320,5727,53395,0,188606,143,7081425,1415690,5002100,Australia/Oceania
66,Bolivia,905074,33,21923,0,859142,222,24009,220,75648,1832,2699040,225591,11964333,South America
67,UAE,899033,222,2302,0,882591,368,14140,0,88934,228,156338294,15465208,10109033,Asia
68,Uruguay,895775,0,7197,0,886654,0,1924,18,256246,2059,6091188,1742452,3495757,South America
69,Ecuador,869696,0,35598,0,0,0,0,759,47962,1963,2470170,136224,18133173,South America
70,Costa Rica,852074,0,8405,0,832853,0,10816,45,164518,1623,4291131,828527,5179229,North America
71,Guatemala,846632,86,17613,29,826812,210,2207,5,45710,951,4466318,241139,18521789,North America
72,Latvia,822726,713,5770,10,809733,824,7223,8,445184,3122,7182151,3886325,1848057,Europe
73,Azerbaijan,792579,1,9709,0,782786,5,84,0,76902,942,6819005,661629,10306390,Asia
74,Panama,777658,538,8185,1,763170,1000,6303,8,175187,1844,5883163,1325328,4439024,North America
75,Saudi Arabia,754238,128,9093,4,741906,120,3239,49,21065,254,41912766,1170560,35805734,Asia
76,Sri Lanka,663408,35,16505,0,646129,3,774,0,30745,765,6486117,300596,21577526,Asia
77,Paraguay,649455,0,18870,0,624673,0,5912,2,89054,2587,2623300,359709,7292833,South America
78,Kuwait,631409,0,2555,0,628090,0,764,8,143956,583,8007805,1825717,4386115,Asia
79,Myanmar,612914,14,19434,0,591847,21,1633,0,11128,353,7970408,144713,55077194,Asia
80,Palestine,581940,0,5353,0,576242,0,345,17,109422,1007,3078533,578856,5318304,Asia
81,Dominican Republic,579443,0,4376,0,574726,0,341,1,52453,396,3279736,296891,11046946,North America
