#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,82888247,0,1019774,0,80585919,0,1282554,1520,247777,3048,1003322959,2999223,334527637,North America
2,India,43068799,0,523693,0,42528126,0,16980,698,30662,373,836471748,595505,1404643348,Asia
3,Brazil,30399004,0,663165,0,29480998,0,254841,8318,141191,3080,63776166,296215,215303429,South America
4,France,28483124,0,145579,0,26403684,0,1933861,1677,434619,2221,266484045,4066235,65535813,Europe
5,Germany,24488242,0,135369,0,22088300,202400,2264573,1980,290591,1606,122332384,1451664,84270469,Europe
6,UK,22011920,0,174448,0,21083398,831,754074,326,321184,2545,516589623,7537753,68533636,Europe
7,Russia,18159600,0,375400,0,17506859,0,277341,2300,124340,2570,273400000,1871986,146048100,Europe
8,S. Korea,17144065,57439,22588,122,0,0,0,552,333871,440,15804065,307776,51349313,Asia
9,Italy,16279754,0,163113,0,14881965,0,1234676,394,269978,2705,212567845,3525149,60300379,Europe
10,Turkey,15026141,0,98736,0,14916782,0,10623,975,174749,1148,158642802,1844960,85987121,Asia
11,Spain,11833457,0,104227,0,11347449,0,381781,339,252918,2228,471036328,10067532,46787665,Europe
12,Vietnam,10631516,0,43034,0,9163132,0,1425350,624,107466,435,85792898,867216,98929083,Asia
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197442,2797,35716069,777299,45948930,South America
14,Netherlands,8042469,0,22234,0,7753113,21462,267122,77,467484,1292,21107399,1226909,17203724,Europe
15,Japan,7771536,45771,29467,65,7319357,55998,422712,174,61790,234,48448864,385208,125773392,Asia
16,Iran,7219433,0,141041,0,6975147,0,103245,1043,84000,1641,50914586,592408,85945161,Asia
17,Colombia,6091959,0,139785,0,5925634,0,26540,342,117452,2695,34428355,663772,51867774,South America
18,Indonesia,6045660,0,156199,0,5880319,0,9142,2771,21686,560,95279624,341778,278776055,Asia
19,Poland,5993861,0,115998,0,5334513,0,543350,1321,158688,3071,36064312,954806,37771338,Europe
20,Australia,5847352,46138,7165,52,5458416,0,381771,149,224577,275,69168574,2656533,26037162,Australia/Oceania
21,Mexico,5736579,1464,324221,48,5036692,1007,375666,4798,43660,2468,15786017,120144,131392727,North America
22,Ukraine,4999984,0,108359,0,0,0,0,177,115589,2505,19521252,451289,43256693,Europe
23,Malaysia,4440383,0,35526,0,4346421,0,58436,98,134073,1073,58544609,1767703,33119023,Asia
24,Thailand,4224008,14437,28274,127,4036969,18509,158765,1496,60241,403,17270775,246310,70118054,Asia
25,Austria,4122797,0,18100,0,4018417,0,86280,111,453068,1989,182416398,20046368,9099723,Europe
26,Israel,4067687,0,10695,0,4029571,0,27421,220,436166,1147,41373364,4436346,9326000,Asia
27,Belgium,4036113,0,31382,0,3768784,8917,235947,156,345521,2687,33531891,2870580,11681224,Europe
28,Czechia,3902095,1645,40123,3,3843970,1031,18002,33,363152,3734,55171659,5134606,10745061,Europe
29,Portugal,3791744,0,22162,0,0,0,0,61,373839,2185,41113089,4053458,10142721,Europe
30,South Africa,3776298,0,100351,0,3638087,0,37860,175,62247,1654,24400471,402206,60666562,Africa
31,Canada,3725773,0,39007,0,3444570,0,242196,471,97169,1017,60778047,1585110,38343111,North America
32,Philippines,3685029,0,60215,0,3614238,0,10576,289,32835,537,29495310,262812,112229517,Asia
33,Switzerland,3602489,0,13836,0,3426790,7149,161863,87,410795,1578,20767523,2368136,8769564,Europe
34,Peru,3563151,0,212778,0,0,0,0,350,105400,6294,29738803,879693,33805871,South America
35,Chile,3551383,0,57468,0,3397592,0,96323,255,182927,2960,36856295,1898420,19414199,South America
36,Greece,3302382,0,29022,0,3195503,0,77857,267,319670,2809,79332875,7679400,10330608,Europe
37,Denmark,2963337,0,6125,0,2936991,0,20221,13,508357,1051,127185788,21818570,5829245,Europe
38,Romania,2890827,0,65456,0,2606660,0,218711,212,152111,3444,22641009,1191339,19004679,Europe
39,Sweden,2498388,0,18656,0,2467044,715,12688,19,244613,1827,18493218,1810641,10213629,Europe
40,Iraq,2324699,0,25208,0,2297063,0,2428,20,55534,602,18466576,441141,41860954,Asia
41,Serbia,2004255,0,15976,0,1972747,0,15532,26,231079,1842,9461757,1090885,8673465,Europe
42,Bangladesh,1952625,0,29127,0,1894457,0,29041,1297,11646,174,13978152,83368,167669010,Asia
