Continent,28-4,29-4,30-4,1-5,2-5,3-5,4-5,5-5,6-5
Africa,0,0,4,0,8,8,50,67,37
Asia,363,427,436,375,329,329,352,290,246
Australia/Oceania,64,39,40,13,45,45,79,81,53
Europe,3,243,590,388,649,669,977,1487,1093
North America,48,33,202,82,206,206,456,519,368
South America,1,0,129,62,116,116,101,196,202
