#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,China,218198,362,5128,16,198550,2092,14520,620,152,4,160000000,111163,1439323776,Asia
2,USA,83356490,71798,1023513,305,80836418,38675,1496559,1655,249149,3059,1008201262,3013472,334564690,North America
3,India,43091393,2992,523975,55,42547699,3010,19719,698,30672,373,838955577,597163,1404902630,Asia
4,Brazil,30502501,20072,663816,51,29602372,17068,236313,8318,141653,3083,63776166,296176,215332283,South America
5,France,28805690,47925,146376,114,27301135,137222,1358179,1511,439523,2233,269816888,4116918,65538567,Europe
6,Germany,25116363,166960,136405,222,22841300,182700,2138658,1446,298027,1619,122332384,1451576,84275579,Europe
7,UK,22090523,8447,175546,227,21396057,38508,518920,278,322299,2561,518646957,7567021,68540442,Europe
8,Russia,18206167,5093,376421,129,17569936,6664,259810,2300,124658,2577,273400000,1871971,146049292,Europe
9,S. Korea,17395791,49038,23079,72,0,0,0,432,338768,449,15804065,307771,51350154,Asia
10,Italy,16633911,47039,164041,152,15282800,60381,1187070,371,275859,2720,214930050,3564424,60298685,Europe
11,Turkey,15037242,1132,98808,7,14934029,1185,4405,975,174843,1149,159413862,1853553,86004468,Asia
12,Spain,11953481,0,104668,0,11446906,0,401907,339,255482,2237,471036328,10067458,46788010,Europe
13,Vietnam,10662446,3088,43047,3,9309336,42055,1310063,480,107760,435,85802635,867168,98945817,Asia
14,Argentina,9083673,0,128653,0,8895999,0,59021,372,197657,2799,35716069,777165,45956854,South America
15,Netherlands,8054728,1679,22266,4,7898763,12318,133699,58,468177,1294,21107399,1226857,17204447,Europe
16,Japan,7952192,27062,29683,52,7551278,33437,371231,174,63230,236,49009025,389684,125766020,Asia
17,Iran,7223828,252,141138,7,6994857,2856,87833,1024,84031,1642,50914586,592266,85965722,Asia
18,Colombia,6092667,0,139797,0,5926476,0,26394,342,117442,2695,34465052,664346,51878141,South America
19,Australia,6076457,46578,7367,56,5699816,0,369274,142,233326,283,69630203,2673682,26042818,Australia/Oceania
20,Indonesia,6047491,176,156321,16,5884325,266,6845,2771,21689,561,95739932,343361,278831339,Asia
21,Poland,5997998,173,116070,1,5334779,12,547149,1125,158801,3073,36120899,956324,37770548,Europe
22,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43678,2468,15801675,120239,131418619,North America
23,Ukraine,5002870,0,108411,0,0,0,0,177,115669,2507,19521252,451341,43251694,Europe
24,Malaysia,4452835,1054,35567,3,4388491,4107,28777,74,134417,1074,58863643,1776911,33126954,Asia
25,Thailand,4290824,9288,28863,82,4153310,19119,108651,1496,61191,412,17270775,246298,70121394,Asia
26,Austria,4161004,6760,18200,17,4070732,6978,72072,83,457218,2000,183522680,20165767,9100704,Europe
27,Israel,4085418,2457,10699,0,4052605,3798,22114,150,438068,1147,41373364,4436346,9326000,Asia
28,Belgium,4071279,0,31494,0,3839678,0,200107,131,348503,2696,33643042,2879858,11682186,Europe
29,Czechia,3909167,1372,40184,0,3856735,869,12248,32,363798,3740,55239501,5140739,10745440,Europe
30,Portugal,3853800,0,22280,0,0,0,0,61,379978,2197,41418112,4083759,10142155,Europe
31,South Africa,3808368,6170,100407,30,3663153,1518,44808,192,62761,1655,24554412,404648,60680863,Africa
32,Canada,3771460,10199,39481,129,3470114,3565,261865,468,98345,1030,61084458,1592839,38349433,North America
33,Philippines,3686375,159,60439,27,3621244,585,4692,289,32839,538,29637969,264018,112257415,Asia
34,Switzerland,3619035,0,13865,0,3489351,0,115819,69,412624,1581,20851897,2377430,8770773,Europe
35,Peru,3567863,692,212891,14,0,0,0,295,105512,6296,29946934,885620,33814658,South America
36,Chile,3566183,2533,57580,36,3432369,3257,76234,197,183660,2965,37153233,1913405,19417334,South America
37,Greece,3343565,8015,29284,35,3237163,0,77118,231,323687,2835,80206153,7764662,10329639,Europe
38,Denmark,2969194,893,6207,16,2948237,2169,14750,8,509328,1065,127255034,21828992,5829634,Europe
