#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,China,218571,373,5141,13,200675,2125,12755,650,152,4,160000000,111163,1439323776,Asia
2,USA,83456944,78191,1024095,307,80872092,30253,1560757,1714,249441,3061,1010205779,3019368,334575277,North America
3,India,43094548,3155,524002,27,42547699,0,22847,698,30673,373,838955577,597131,1404976711,Asia
4,Brazil,30524183,21682,663967,151,29609094,6722,251122,8318,141748,3083,63776166,296164,215340527,South America
5,France,28849915,44225,146498,122,27426415,125280,1277002,1511,440192,2235,269816888,4116868,65539354,Europe
6,Germany,25203564,87201,136564,159,23000500,159200,2066500,1279,299056,1620,122332384,1451551,84277039,Europe
7,UK,22107483,10896,175984,438,21428795,32738,502704,277,322537,2568,518950767,7571239,68542387,Europe
8,Russia,18211178,5011,376560,139,17578659,8723,255959,2300,124692,2578,273400000,1871966,146049633,Europe
9,S. Korea,17438068,42277,23158,79,0,0,0,441,339590,451,15804065,307769,51350394,Asia
10,Italy,16683043,48672,164179,138,15353323,70523,1165541,369,276676,2723,215257228,3569878,60298201,Europe
11,Turkey,15038495,1253,98819,11,14935811,1782,3865,975,174847,1149,159515125,1854624,86009425,Asia
12,Spain,11990533,18526,104802,67,11460312,6703,425419,339,256273,2240,471036328,10067437,46788109,Europe
13,Vietnam,10666751,4305,43049,2,9314420,5084,1309282,480,107799,435,85803579,867136,98950598,Asia
14,Argentina,9083673,0,128653,0,8895999,0,59021,372,197647,2799,35716069,777127,45959118,South America
15,Netherlands,8056397,1669,22269,3,7898759,0,135369,58,468268,1294,21107399,1226842,17204654,Europe
16,Japan,7978912,26720,29708,25,7597588,46310,351616,166,63444,236,49108094,390478,125763913,Asia
17,Iran,7224056,228,141145,7,6997050,2193,85861,991,84028,1642,50914586,592226,85971597,Asia
18,Australia,6130748,54868,7424,57,5800078,61927,323246,133,235396,285,69733213,2677471,26044435,Australia/Oceania
19,Colombia,6093645,978,139809,12,5927076,600,26760,342,117454,2695,34560302,666144,51881103,South America
20,Indonesia,6047741,250,156340,19,5884770,445,6631,2771,21688,561,95898504,343911,278847134,Asia
21,Poland,5998906,909,116099,29,5334813,49,547994,1125,158826,3074,36133322,956659,37770322,Europe
22,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43675,2468,15801675,120232,131426017,North America
23,Ukraine,5002870,0,108411,0,0,0,0,177,115673,2507,19521252,451356,43250266,Europe
24,Malaysia,4454113,1278,35569,2,4391090,2599,27454,66,134447,1074,58880012,1777283,33129220,Asia
25,Thailand,4300614,9790,28917,54,4170419,17109,101278,1496,61330,412,17270775,246295,70122349,Asia
26,Austria,4166759,5755,18222,22,4078247,7515,70290,84,457836,2002,183682889,20182748,9100985,Europe
27,Belgium,4088336,4414,31552,12,3850029,10351,206755,124,349955,2701,33714218,2885883,11682461,Europe
28,Israel,4086801,1383,10729,30,4052605,0,23467,150,438216,1150,41373364,4436346,9326000,Asia
29,Portugal,3920171,13992,22399,17,0,0,0,61,386529,2209,41456888,4087647,10141993,Europe
30,Czechia,3910394,1206,40199,6,3857431,853,12764,24,363908,3741,55251048,5141762,10745548,Europe
31,South Africa,3818125,9757,100471,64,3668982,5829,48672,192,62917,1656,24592030,405241,60684949,Africa
32,Canada,3783091,11631,39673,188,3473768,3654,269650,468,98643,1034,61107311,1593360,38351239,North America
33,Philippines,3686543,168,60439,0,3621410,166,4694,289,32838,538,29658380,264181,112265386,Asia
