Continent,28-4,29-4,30-4,1-5,2-5,3-5,4-5,5-5,6-5
Africa,0,28,6928,4146,2830,3078,7086,10599,9745
Asia,119697,126761,132632,109994,88445,88443,128786,128061,109632
Australia/Oceania,55263,50207,46536,39225,38245,38266,55228,64623,45685
Europe,1645,21289,189185,107447,69607,75784,303232,286503,238107
North America,1464,1232,31416,21764,47786,47786,86858,94857,86538
South America,101,125,20129,10434,8811,8811,23458,27186,23745
