#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,China,215667,1424,5022,47,184078,3127,26567,458,150,3,160000000,111163,1439323776,Asia
2,USA,83066907,24751,1020833,115,80684899,29374,1361175,1576,248295,3051,1005438148,3005356,334548810,North America
3,India,43079188,3324,523843,40,42536253,2876,19092,698,30666,373,837442023,596133,1404791509,Asia
4,Brazil,30448236,15194,663551,67,29519204,11647,265481,8318,141409,3082,63776166,296193,215319917,South America
5,France,28645285,49482,145930,61,26801506,107496,1697849,1677,437083,2227,266484045,4066138,65537387,Europe
6,Germany,24761600,57003,135900,106,22307900,80300,2317800,1446,293825,1613,122332384,1451613,84273389,Europe
7,UK,22038340,0,174912,0,21168267,0,695161,302,321551,2552,517337635,7548239,68537525,Europe
8,Russia,18182354,7363,375884,157,17539985,11022,266485,2300,124495,2574,273400000,1871977,146048781,Europe
9,S. Korea,17237878,43262,22794,70,0,0,0,490,335695,444,15804065,307773,51349793,Asia
10,Italy,16464034,54436,163507,130,15070314,71625,1230213,366,273038,2712,213773683,3545204,60299411,Europe
11,Turkey,15032093,1772,98771,11,14927975,0,5347,975,174798,1149,159024414,1849185,85997034,Asia
12,Spain,11896152,0,104456,0,11389694,0,402002,339,254257,2233,471036328,10067490,46787862,Europe
13,Vietnam,10649809,5109,43041,3,9262255,16727,1344513,475,107641,435,85798077,867185,98938645,Asia
14,Argentina,9082649,1304,128640,16,8895999,0,58010,372,197649,2799,35716069,777223,45953458,South America
15,Netherlands,8047132,0,22243,0,7811564,0,213325,66,467744,1293,21107399,1226879,17204137,Europe
16,Japan,7850252,36403,29548,42,7402570,46281,418134,171,62418,235,48679214,387052,125769179,Asia
17,Iran,7221653,532,141083,11,6983502,3019,97068,996,84015,1641,50914586,592327,85956910,Asia
18,Colombia,6092667,264,139797,4,5926476,460,26394,342,117452,2695,34465052,664403,51873698,South America
19,Indonesia,6046796,329,156257,17,5882660,598,7879,2771,21688,560,95495775,342515,278807646,Asia
20,Poland,5996514,842,116059,17,5334680,61,545775,1321,158760,3073,36092285,955558,37770886,Europe
21,Australia,5928306,39258,7223,34,5591247,37502,329836,139,227658,277,69334180,2662563,26040394,Australia/Oceania
22,Mexico,5738769,958,324294,40,5038150,677,376325,4798,43672,2468,15801675,120249,131407522,North America
23,Ukraine,5001719,0,108391,0,0,0,0,177,115636,2506,19521252,451318,43253836,Europe
24,Malaysia,4448004,2107,35547,5,4366951,6890,45506,69,134285,1073,58730151,1773063,33123555,Asia
25,Thailand,4250949,12888,28529,126,4070856,17105,151564,1496,60624,407,17270775,246303,70119963,Asia
26,Austria,4140543,5199,18156,18,4042540,7931,79847,87,454991,1995,183002443,20109531,9100284,Europe
27,Israel,4076111,1992,10695,0,4042243,3850,23173,220,437070,1147,41373364,4436346,9326000,Asia
28,Belgium,4056448,0,31439,0,3788323,0,236686,150,347246,2691,33531891,2870445,11681774,Europe
29,Czechia,3905100,1433,40155,8,3849141,4336,15804,29,363425,3737,55199677,5137111,10745277,Europe
30,Portugal,3853800,0,22280,0,0,0,0,61,379969,2197,41278379,4069884,10142397,Europe
31,South Africa,3791925,6527,100363,3,3648831,2590,42731,192,62496,1654,24475485,403388,60674734,Africa
32,Canada,3749083,2799,39243,13,3454966,3158,254874,468,97768,1023,60871310,1587393,38346723,North America
33,Philippines,3685642,239,60341,36,3618137,1428,7164,289,32836,538,29565513,263401,112245459,Asia
34,Switzerland,3602489,0,13859,0,3459053,0,129577,87,410762,1580,20767523,2367950,8770255,Europe
35,Peru,3565253,695,212824,14,0,0,0,301,105447,6295,29846819,882758,33810892,South America
36,Chile,3558631,2298,57527,18,3413427,6497,87677,221,183284,2963,37001758,1905736,19415990,South America
37,Greece,3323922,6497,29153,39,3212923,3827,81846,239,321772,2822,79829956,7727931,10330055,Europe
38,Denmark,2966047,843,6158,9,2941761,1304,18128,13,508802,1056,127218115,21823284,5829467,Europe
39,Romania,2893876,887,65487,9,2606660,0,221729,198,152283,3446,22702071,1194639,19003285,Europe
40,Sweden,2500917,0,18739,0,2469149,1071,13029,21,244844,1835,18513445,1812500,10214317,Europe
41,Iraq,2325092,110,25211,0,2297747,201,2134,20,55530,602,18478198,441314,41870842,Asia
42,Serbia,2006353,521,15991,7,1975636,2889,14726,23,231331,1844,9487930,1093951,8673082,Europe
43,Bangladesh,1952691,17,29127,0,1895404,258,28160,1297,11645,174,13990466,83432,167686928,Asia
44,Hungary,1901017,0,46201,0,1804295,0,50521,41,197703,4805,11339446,1179283,9615541,Europe
45,Slovakia,1780955,933,19905,14,1743306,915,17744,70,325915,3643,7088924,1297275,5464473,Europe
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,163091,1352,16670254,1604732,10388185,Asia
47,Georgia,1655098,153,16807,0,1637037,237,1254,0,416358,4228,16908154,4253432,3975179,Asia
48,Pakistan,1528412,65,30371,0,1494141,0,3900,131,6682,133,28156480,123101,228726193,Asia
49,Ireland,1517112,0,7087,0,1452338,5232,57687,37,301101,1407,12063637,2394267,5038551,Europe
50,Norway,1426013,204,2932,0,0,0,0,20,259337,533,11002430,2000919,5498688,Europe
51,Kazakhstan,1305533,12,13660,0,1291066,11,807,24,68043,712,11575012,603273,19187011,Asia
52,Hong Kong,1204210,363,9308,10,0,0,0,115,158280,1223,44972952,5911192,7608102,Asia
53,Singapore,1197908,2141,1335,1,1132574,2562,63999,6,201858,225,23712995,3995852,5934402,Asia
54,Morocco,1164953,46,16069,0,1148474,38,410,293,30893,426,11237010,297986,37709802,Africa
55,Bulgaria,1156729,263,36913,2,978145,41,141671,82,168794,5386,9848912,1437187,6852907,Europe
56,Croatia,1122459,797,15828,6,1100854,1032,5777,24,276534,3899,4786857,1179312,4059024,Europe
